C,0.309173,0.150219,0.214139,0.064852,0.078212,0.052072,0.038737,0.015357,0.014008,0.013842,0.015863,0.015604,0.019270,0.017208,0.013125,0.009080,0.005272,0.006411,0.004622
A,0.281344,0.207271,0.094731,0.073289,0.020217,0.024664,0.011178,0.017913,0.008211,0.024101,0.015766,0.032039,0.015066,0.010146,0.008414,0.017728,0.010549,0.008097,0.006040
J,0.407731,0.379642,0.197536,0.132654,0.036822,0.030274,0.041858,0.044600,0.020604,0.013113,0.012526,0.010469,0.004555,0.013772,0.012837,0.010193,0.003943,0.004218,0.004693
O,0.707533,0.307887,0.323476,0.147875,0.047717,0.056013,0.022244,0.019373,0.035870,0.026709,0.044966,0.008745,0.011725,0.014581,0.010060,0.008264,0.011793,0.013919,0.013768
I,0.560176,0.237944,0.241784,0.092851,0.100642,0.067630,0.034058,0.033118,0.024629,0.037711,0.029163,0.034023,0.027838,0.009543,0.008445,0.013333,0.003941,0.010523,0.006394
Q,0.373308,0.165331,0.193107,0.094597,0.086190,0.045220,0.043897,0.014988,0.027343,0.026252,0.014751,0.025330,0.017565,0.008116,0.003362,0.006371,0.011607,0.005848,0.010180
:,0.144282,0.087850,0.052493,0.072065,0.011268,0.042668,0.009383,0.017406,0.011594,0.018039,0.018617,0.007523,0.007635,0.018995,0.014210,0.014785,0.008851,0.007116,0.008325
3,0.733332,0.315798,0.406316,0.330728,0.054366,0.078269,0.060235,0.061858,0.041774,0.018211,0.023633,0.019253,0.033819,0.032292,0.015291,0.023446,0.023035,0.009662,0.018705
Q,0.447877,0.185994,0.172932,0.069603,0.107519,0.032425,0.040695,0.033441,0.026626,0.034259,0.019590,0.024945,0.007407,0.004613,0.005903,0.010205,0.011578,0.009792,0.006601
?,0.223290,0.102930,0.088691,0.080694,0.041730,0.040103,0.029981,0.023284,0.011648,0.015089,0.007306,0.015733,0.015540,0.016246,0.014622,0.013004,0.009342,0.010070,0.006835
F,0.088038,0.157174,0.080307,0.028184,0.017579,0.032477,0.023711,0.019352,0.006330,0.013560,0.011117,0.008163,0.005246,0.005038,0.008107,0.006346,0.002684,0.006089,0.002632
